ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8105605	0.0109	3.29e-07	5.69288484	5.9645	3.25e-01		
8124162	0.0337	2.06e-06	5.21618532	4.4141	2.28e-01		
8077779	0.0337	3.46e-06	-5.07905236	3.9759	-3.00e-01		
8087852	0.0337	5.88e-06	-4.93679002	3.5256	-2.06e-01	TLR9	toll like receptor 9
8173823	0.0337	5.93e-06	4.93492973	3.5198	2.87e-01		
7929591	0.0337	6.08e-06	4.92793624	3.4977	2.51e-01		
8118632	0.0547	1.25e-05	-4.73183604	2.8856	-1.99e-01	MIR219A1	microRNA 219a-1
8174201	0.0547	1.31e-05	-4.71885978	2.8455	-1.98e-01	BEX1	brain expressed X-linked 1
8112894	0.0613	1.68e-05	4.65073892	2.6355	3.53e-01		
7892630	0.0613	1.98e-05	4.60619277	2.4989	3.14e-01		
8148923	0.0613	2.24e-05	-4.57126413	2.3922	-1.48e-01	LRRC14	leucine rich repeat containing 14
8134814	0.0613	2.53e-05	-4.53817328	2.2914	-1.70e-01	PILRA	paired immunoglobin like type 2 receptor alpha
7894434	0.0613	2.57e-05	4.53361943	2.2776	2.73e-01		
7988344	0.0613	2.71e-05	4.51912504	2.2336	2.66e-01		
8114546	0.0613	2.95e-05	-4.4951037	2.1608	-2.03e-01		
8010766	0.0613	3.02e-05	-4.48893554	2.1421	-2.75e-01		
7949019	0.0613	3.13e-05	4.47843728	2.1104	5.15e-01		
7895730	0.0779	4.29e-05	4.38987337	1.8441	4.04e-01		
8118076	0.0779	4.44e-05	-4.37986478	1.8141	-1.85e-01	PSORS1C1	psoriasis susceptibility 1 candidate 1
7895551	0.085	5.11e-05	-4.34013566	1.6956	-1.79e-01		
7965838	0.085	5.42e-05	4.32337102	1.6457	2.85e-01		
8073909	0.085	5.62e-05	-4.31333636	1.616	-1.35e-01	TBC1D22A	TBC1 domain family member 22A
8151430	0.0956	6.90e-05	4.25473311	1.4427	2.15e-01		
7893692	0.0956	7.10e-05	4.24623044	1.4176	2.53e-01		
7893788	0.0956	7.17e-05	-4.24337992	1.4092	-2.53e-01		
8016578	0.0957	7.74e-05	-4.22162853	1.3453	-1.85e-01	SLC35B1	solute carrier family 35 member B1
8042460	0.0957	7.79e-05	4.2196717	1.3395	2.44e-01		
7894765	0.0957	8.42e-05	4.19715465	1.2736	2.99e-01		
8170775	0.0957	8.50e-05	-4.19454604	1.2659	-1.75e-01	SSR4	signal sequence receptor subunit 4
7900144	0.0957	8.89e-05	4.18170794	1.2284	2.51e-01		
8138155	0.0957	8.91e-05	-4.18093053	1.2261	-2.17e-01		
