ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219120_at	0.243	0.00039	4.132881	-0.769	0.1263926	WDCP	WD repeat and coiled coil containing
46142_at	0.243	0.000537	4.005443	-0.962	0.361416	LMF1	lipase maturation factor 1
209480_at	0.243	0.001	3.756557	-1.342	0.3905923	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
212523_s_at	0.243	0.001007	3.753903	-1.346	0.3523485	SPIDR	scaffolding protein involved in DNA repair
215073_s_at	0.243	0.001064	3.731564	-1.38	0.3640351	NR2F2	nuclear receptor subfamily 2 group F member 2
217300_at	0.243	0.001255	3.664968	-1.482	0.1130593		
220078_at	0.243	0.001257	3.664309	-1.483	0.2389289	USP48	ubiquitin specific peptidase 48
215388_s_at	0.243	0.001471	3.600735	-1.58	0.6150717	CFHR1///CFH	complement factor H related 1///complement factor H
214249_at	0.243	0.001492	3.594976	-1.589	0.1309012	TRIM2	tripartite motif containing 2
221056_x_at	0.243	0.001525	-3.58611	-1.602	-0.2432626	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1
202532_s_at	0.243	0.001771	3.525599	-1.695	0.4380473	DHFR	dihydrofolate reductase
215744_at	0.243	0.00206	3.463913	-1.789	0.1748464	FUS	FUS RNA binding protein
201819_at	0.243	0.002084	-3.459236	-1.796	-0.2122275	SCARB1	scavenger receptor class B member 1
216490_x_at	0.243	0.002168	3.443028	-1.821	0.2416763		
217240_at	0.243	0.002428	3.396626	-1.892	0.1708095	SIRPB1	signal regulatory protein beta 1
217570_x_at	0.243	0.002518	3.381743	-1.914	0.2094805		
212025_s_at	0.243	0.00253	3.37986	-1.917	0.1534614	FLII	FLII, actin remodeling protein
210113_s_at	0.243	0.002545	3.377315	-1.921	0.1000987	NLRP1	NLR family pyrin domain containing 1
216954_x_at	0.243	0.002633	3.36346	-1.942	0.1885072	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
211756_at	0.243	0.002664	3.358586	-1.95	0.2207117	PTHLH	parathyroid hormone like hormone
220206_at	0.243	0.002751	3.345437	-1.97	0.2066904	ZMYM1	zinc finger MYM-type containing 1
217585_at	0.243	0.002776	3.341657	-1.975	0.1793751	NEBL	nebulette
206035_at	0.243	0.002777	3.341497	-1.975	0.1099761	REL	REL proto-oncogene, NF-kB subunit
