"Gene.symbol"	"logFC"	"P.Value"
"WASH7P"	0.0582523495984693	0.417656259287542
"MIR6859-1"	-0.0422353707616569	0.72876068229204
"RP11-34P13.15"	0.321357674488171	0.0474871266155261
"RP11-34P13.16"	0.255360822724691	0.123524852606385
"FO538757.1"	-0.0565340726501657	0.408654310359725
"AP006222.2"	-0.0988424841032569	0.341377206558906
"RPL23AP24"	-0.110334111704751	0.230595321571071
"MTND1P23"	-0.296923382788737	0.480919320335603
"MTND2P28"	0.229907597864419	0.0122982621346834
"MTCO1P12"	-0.221402286778748	0.223802688135861
"MIR6723"	-0.415359189185253	0.191179071582644
"MTCO2P12"	0.0203855070807833	0.885096377650587
"MTATP6P1"	0.104592486476699	0.211109217737756
"MTCO3P12"	0.167032972559974	0.391004382042215
"RP11-206L10.2"	0.0414504398141954	0.420578187274602
"RNU6-1199P"	0.379309124108275	0.0464145094057966
"RP11-206L10.9"	0.0688357639977975	0.196011427265071
"RP11-206L10.8"	0.0819156244025659	0.131728085826838
"LINC01128"	-0.0267929347652686	0.197578054617645
"LINC00115"	0.0311759038933724	0.634344933269487
"RP11-54O7.16"	-0.330142889631001	0.0822989493699642
"RP11-54O7.3"	-0.0219419361681607	0.873954540893116
"SAMD11"	-0.0529984740850265	0.618380561294569
"NOC2L"	0.00592871293661104	0.735108361769273
"KLHL17"	-0.0810807692445155	0.0288193429987987
"RP11-54O7.17"	-0.205467329855952	0.0878078318350844
"HES4"	-0.136213287139876	0.014214564867573
"ISG15"	-0.0805662922477149	0.354844696036318
"AGRN"	-0.082881149638082	0.0157669266085433
"RP11-465B22.3"	0.00979718500970348	0.862086508027678
"C1orf159"	-0.044796124430148	0.118047505313298
"TNFRSF18"	-0.0321302786196118	0.737284331286109
"TNFRSF4"	0.00376301891369564	0.975042179701866
"SDF4"	-0.0244581467711537	0.184641417716275
"B3GALT6"	-0.0657035892966284	0.00892898889275591
"FAM132A"	-0.0420481073186947	0.719662584334945
"UBE2J2"	-0.0268080045957412	0.12758873021995
"RP5-902P8.10"	-0.00636853092034698	0.900711373308443
"SCNN1D"	-0.0459826960898862	0.197168137145062
"ACAP3"	-0.0442204152046815	0.0494715745027849
"PUSL1"	-0.051204358597056	0.138624284471076
"CPSF3L"	0.030331897199445	0.0777074193827787
"RP5-890O3.9"	-0.0153232363973029	0.744868764911602
"CPTP"	-0.0679616224854159	0.0167932303115091
"DVL1"	0.0057810825333043	0.812362013097279
"MXRA8"	-0.0760709900553016	0.181166175446844
"AURKAIP1"	-0.0131992834123193	0.532765483014332
"CCNL2"	0.0132879130989402	0.50555255707069
"RP4-758J18.2"	-0.0202165691800163	0.473490751644556
"MRPL20"	0.045361907581416	0.00706083547952036
"RP4-758J18.13"	-0.0122517775084398	0.780924409108236
"ANKRD65"	-0.115393390929934	0.121857121551858
"RP4-758J18.7"	0.0120691816771652	0.919751296818899
"TMEM88B"	0.014361170299702	0.909682779371443
"RP4-758J18.10"	-0.0491148008740066	0.669874215223628
"VWA1"	-0.0624001852382906	0.248529736639718
"ATAD3C"	-0.0666383417318007	0.525758209696449
"ATAD3B"	0.00820837831524111	0.841527693638629
"ATAD3A"	-0.0274152136099728	0.309569391712738
"TMEM240"	-0.100883716472049	0.0024807095633415
"SSU72"	0.0285207222972458	0.0379071307569932
"RP5-832C2.5"	-0.0131434566270562	0.795488052564288
"FNDC10"	-0.0354577908581345	0.208611150567154
"RP11-345P4.9"	-0.0690787599456696	0.0272156788526074
"MIB2"	-0.0550975217548316	0.019706374591403
"CDK11B"	0.0397423841927822	0.139206375615545
"RP11-345P4.10"	-0.229236576682603	0.19584988153046
"SLC35E2B"	-0.110799796643898	0.0238961180046527
"CDK11A"	0.0737329026059714	0.347642969421873
"RP1-283E3.8"	0.151755035482151	0.118272678178238
"SLC35E2"	-0.0359147171588645	0.652032848870458
"NADK"	0.026320097518711	0.142693515575403
"GNB1"	0.0121882248159901	0.333804852203424
"RP1-140A9.1"	-0.0867520442870243	0.221350148930096
"TMEM52"	-0.027539312795096	0.736074400519036
"CFAP74"	-0.0432927190887912	0.280523578945334
"RP11-547D24.1"	0.0471958751143178	0.619358058576077
"GABRD"	-0.132989057772166	0.000205524355297386
"PRKCZ"	0.0214990173153965	0.189435030348732
"RP11-181G12.2"	0.0912784987886825	0.363914249793276
"FAAP20"	-0.00206015815309636	0.949117373776471
"RP11-181G12.4"	0.151919894957191	0.377886423190158
"SKI"	0.0318109004309378	0.236318303575643
"MORN1"	-0.0136644587037382	0.578269783880552
"RP4-740C4.5"	-0.00699786677408695	0.902499790104093
"RP4-740C4.7"	-0.0932032759658129	0.0974869665800744
"RER1"	-0.00323237580349816	0.817703822348377
"PEX10"	-0.00415392455921837	0.84701186651671
"PLCH2"	0.0586174293689479	0.19002600783381
"PANK4"	0.0523064303877765	0.00673664585739934
"HES5"	-0.116473418465337	0.102981894610096
"RP3-395M20.12"	0.0559007302303977	0.459055380917683
"TNFRSF14"	-0.0559497001942346	0.181573933007228
"FAM213B"	-0.0553350252943808	0.0240572854761642
"TTC34"	-0.0417415210888369	0.364709323443793
"LINC00982"	0.0409293010799954	0.492194903769967
"PRDM16"	0.0712044270437187	0.049908465974857
"MIR4251"	0.143563150708257	0.387450602608901
"RP11-193J6.1"	0.0257950141822969	0.788529834017206
"ARHGEF16"	0.0926781674469192	0.252349639872975
"MEGF6"	-0.00689386060361361	0.895753726495236
"RP11-46F15.2"	0.0374315259246291	0.652449736524841
"TPRG1L"	0.00921836885532331	0.638262689337971
"WRAP73"	-0.031424659263104	0.188537873387373
"TP73-AS1"	0.0167677502846699	0.439115200780923
"SMIM1"	0.120744676526329	0.20927728954052
"LRRC47"	-0.0174999829785786	0.28327855902728
"CEP104"	0.00984751238471897	0.583058788781398
"DFFB"	-0.0681564741707304	0.0226344355449962
"C1orf174"	0.00574842640170211	0.812845207718456
"AJAP1"	0.0065074639219584	0.772817452666592
"RP11-154H17.1"	-0.185738712759806	0.103368768081677
"MIR4689"	0.34993869908636	0.0628539917354614
"NPHP4"	0.0230466487961528	0.324452636496841
"KCNAB2"	0.0453178067970648	0.0501216389864921
"CHD5"	0.0104961054277751	0.665424471884578
"RPL22"	0.0196605841190597	0.232566165015666
"RP1-120G22.11"	-0.0270883279595112	0.745931900211372
"RNF207"	-0.0885289340514579	0.0140258734647351
"ICMT"	-0.00303768555231671	0.89167788333431
"GPR153"	0.0200293644703497	0.618888507883633
"ACOT7"	0.0248141484817876	0.216759761178477
"RP1-202O8.3"	-0.363638996025729	0.00561230662115886
"TNFRSF25"	-0.0142980015067922	0.746010318678659
"PLEKHG5"	0.00138758915470794	0.967126152449397
"NOL9"	-0.00299107453107336	0.865394242218563
"ZBTB48"	8.16958233405284e-05	0.997059981638194
"KLHL21"	0.0261280172622474	0.334451759678128
"PHF13"	0.0409744186553205	0.220373866701572
"THAP3"	0.0233929128587369	0.328517440621987
"DNAJC11"	0.0156760157183344	0.320092893524031
"RP11-312B8.1"	-0.185494569609264	0.120741061983331
"CAMTA1"	-0.0252650825438142	0.119432637665258
"RNU1-8P"	-0.186575616486796	0.292058497535771
"CAMTA1-IT1"	0.060087399186835	0.461643917381722
"RP11-338N10.1"	0.108805719434905	0.288118699705452
"RP11-338N10.2"	0.240076632911056	0.0448075853982997
"RP11-338N10.3"	0.0763939324368153	0.455667393408862
"VAMP3"	-0.0126475353567036	0.705941915953381
"RP3-467L1.6"	-0.0143982770044857	0.828233142529225
"PER3"	-0.0423035422328625	0.240409566148103
"PARK7"	0.0355768416495	0.00636684468499751
"ERRFI1"	0.05707389205297	0.170719383080603
"SLC45A1"	-0.0187508983706228	0.372279044608987
"Y_RNA"	-0.080745962526642	0.65890325692576
"RERE"	0.0347671097011755	0.0128614150225482
"SNORA77"	-0.00132422239108027	0.991198104535841
"RPL7P7"	0.115752747921449	0.0572272076362458
"Y_RNA"	-0.0645259089978553	0.651680852246507
"RP4-633I8.4"	0.0935548693813205	0.226682447418657
"ENO1"	0.0166789355102838	0.277342927762823
"MIR6728"	0.143679088550129	0.402531459620213
"ENO1-IT1"	-0.0236540506803922	0.767416147140176
"ENO1-AS1"	-0.027786604323054	0.871740817715221
"SLC2A5"	-0.151107761834895	0.136327715629065
"MIR34A"	-0.0313724803403711	0.534164455470915
"RP3-510D11.4"	0.108260585688431	0.20645157861625
"H6PD"	0.0296827472657901	0.288498479717375
"SPSB1"	0.0435598472820941	0.459215118960657
"SLC25A33"	-0.0609183302907173	0.0725228503940942
"RP13-15M17.1"	-0.0711611675285065	0.428297013054895
"TMEM201"	0.0459109993544221	0.0264953730805959
"PIK3CD"	0.00477621208446987	0.893857160770845
"CLSTN1"	-0.0153099016170952	0.379728902779199
"CTNNBIP1"	0.0481398993011319	0.0318231881177505
"RP11-84A14.5"	0.320363634295857	0.0622530598390795
"LZIC"	0.0109820169745417	0.476096385840058
"RP11-84A14.4"	-0.0351852473860996	0.785133864201022
"NMNAT1"	0.00244463111066731	0.915498967911697
"RN7SKP269"	0.165368906397245	0.215012763933043
"MIR5697"	-0.00192611830993028	0.991392289647587
"RBP7"	-0.16195544953298	0.158923541695235
"UBE4B"	0.0292397018019988	0.0246215778334387
"PGAM1P11"	0.0895190327888735	0.39200795162091
"RNU6-828P"	0.190735446030862	0.130205984482591
"KIF1B"	0.0489920880307622	0.00139568070591709
"MIR1273D"	-0.119758172336414	0.451484526499762
"RNU6-37P"	-0.0674911093892127	0.347196254820966
"PGD"	0.0427841191602419	0.0424508608404135
"APITD1"	-0.0625865979841228	0.399354865568649
"CORT"	-0.241520397411151	0.000292811965881775
"DFFA"	0.00602311880175944	0.732069107015039
"PEX14"	-0.00106754281351034	0.952408633920838
"RN7SL614P"	0.0595874117104822	0.683076788511816
"TARDBP"	0.0221479848181386	0.234152031492053
"RP4-635E18.8"	-0.0995671914831914	0.0205789832143665
"SRM"	-0.03542578942358	0.0843745577987745
"EXOSC10"	-0.0115448575931125	0.550439944749838
"RP4-635E18.7"	-0.00519116169383836	0.947858401757024
"RP4-635E18.6"	-0.205383754428066	0.107674707895423
"MTOR"	0.0282537670772616	0.0212296998760205
"UBIAD1"	0.0234098698772064	0.257895142245249
