"Gene.symbol"	"logFC"	"P.Value"
"WASH7P"	-0.134784436925649	0.0807486498607751
"MIR6859-1"	-0.211455402754771	0.10156342020908
"RP11-34P13.15"	0.177974032221613	0.303088140897177
"RP11-34P13.16"	0.0369503930899891	0.833324284195726
"FO538757.1"	-0.0746503652639652	0.296458525051905
"AP006222.2"	-0.0629525915159493	0.568209561786919
"RPL23AP24"	-0.166795053078993	0.0904637307744135
"MTND1P23"	-0.207172082157566	0.64613073071044
"MTND2P28"	0.17680180999979	0.0694211091205262
"MTCO1P12"	-0.095006932015619	0.622661028340543
"MIR6723"	-0.266521599469225	0.429057710981228
"MTCO2P12"	0.0973347887142693	0.517016065614312
"MTATP6P1"	0.0435073250594472	0.622514089560079
"MTCO3P12"	0.234174025035943	0.261271847441362
"RP11-206L10.2"	-0.0148399144212286	0.784353757016695
"RNU6-1199P"	-0.0268716453668912	0.895358962688856
"RP11-206L10.9"	0.0620853543807547	0.270861160021889
"RP11-206L10.8"	0.0183507130679148	0.750326128379404
"LINC01128"	0.0219879290116788	0.315217838937996
"LINC00115"	-0.0235373652354923	0.734841258635343
"RP11-54O7.16"	-0.131537933398519	0.502329926593085
"RP11-54O7.3"	-0.177926381679121	0.220338408672892
"SAMD11"	-0.110100176747535	0.324837995846575
"NOC2L"	-0.00706946465744481	0.701849412329662
"KLHL17"	-0.103259766436094	0.00838719737945569
"RP11-54O7.17"	-0.395256589575861	0.00189116415630073
"HES4"	-0.113737912699952	0.0501806001574231
"ISG15"	-0.123404448023541	0.181308953479385
"AGRN"	-0.0937881920358521	0.0093819053477223
"RP11-465B22.3"	0.0287381600278527	0.628396933779373
"C1orf159"	-0.0676133753258922	0.0250439376925032
"TNFRSF18"	0.0218200036240421	0.82907725492148
"TNFRSF4"	-0.276509936809512	0.0334597272170082
"SDF4"	-0.0119604732957624	0.537448969420353
"B3GALT6"	-0.036441582298575	0.166348954887231
"FAM132A"	-0.240004923273528	0.0573223304908511
"UBE2J2"	-0.00667579603697316	0.71852150707597
"RP5-902P8.10"	-0.0267099132877516	0.618532934053138
"SCNN1D"	-0.0961299797799292	0.0109883123787088
"ACAP3"	-0.0803558706681552	0.000748668710126458
"PUSL1"	-0.0213518786541655	0.555495795483373
"CPSF3L"	-0.0215452451916793	0.234490424109957
"RP5-890O3.9"	-0.109589202687551	0.0287893593034811
"CPTP"	-0.0611361337536859	0.0409549199345638
"DVL1"	0.0153306824068475	0.549848629364958
"MXRA8"	-0.0466629272449087	0.439924260891697
"AURKAIP1"	-0.00103856399320343	0.962811461470057
"CCNL2"	-0.0295377274469613	0.161182214522741
"RP4-758J18.2"	-0.0504095851654619	0.0906366561480064
"MRPL20"	0.0215971193472305	0.222152768206269
"RP4-758J18.13"	0.00516355557361521	0.911250649254471
"ANKRD65"	-0.0227521341282201	0.769487653238812
"RP4-758J18.7"	-0.0316794490294214	0.799682056589828
"TMEM88B"	-0.0722869893464972	0.588003075502761
"RP4-758J18.10"	-0.00704972889982008	0.953509101346518
"VWA1"	-0.0666434719517555	0.241606728946231
"ATAD3C"	0.0506540750464567	0.644877646582991
"ATAD3B"	-0.0660324895627587	0.128929371942024
"ATAD3A"	-0.0380812582481367	0.180040423738037
"TMEM240"	-0.0931853730645212	0.00784749727854465
"SSU72"	0.015617582225	0.279894131072257
"RP5-832C2.5"	0.0151812173396416	0.7758746056026
"FNDC10"	-0.0245228350513129	0.410538347701552
"RP11-345P4.9"	-0.0508812535379156	0.121904839899466
"MIB2"	-0.0419909425512773	0.090958331568547
"CDK11B"	0.00075002023932095	0.978985891326682
"RP11-345P4.10"	-0.136147477785556	0.460971833593869
"SLC35E2B"	-0.124644858878916	0.0159189271502398
"CDK11A"	-0.0500315882800887	0.547904009174039
"RP1-283E3.8"	0.106483576099775	0.303316733063474
"SLC35E2"	-0.163392174661966	0.0531564185587091
"NADK"	0.0191164522469869	0.31300414959466
"GNB1"	0.0239855165637604	0.0711985228514206
"RP1-140A9.1"	-0.0935443101482105	0.209792930758921
"TMEM52"	0.092134847687814	0.279014926755765
"CFAP74"	8.08014759553356e-05	0.998475857360163
"RP11-547D24.1"	0.183826119620717	0.0678106005283763
"GABRD"	-0.0648366595324734	0.0819710129777802
"PRKCZ"	0.0175682502886843	0.307658977911751
"RP11-181G12.2"	0.0722052919363948	0.496227982903244
"FAAP20"	0.0108931123955616	0.748613180000353
"RP11-181G12.4"	-0.028099925528681	0.878430605906813
"SKI"	0.0627965402731783	0.0267678303698827
"MORN1"	-0.000433622036775312	0.986698458548242
"RP4-740C4.5"	0.0150607781569559	0.803431423583425
"RP4-740C4.7"	-0.0624698955165211	0.291493314410265
"RER1"	-0.00640445735869466	0.664913665911272
"PEX10"	-0.0231961459977916	0.308470018154668
"PLCH2"	0.0702709033017662	0.134686672277785
"PANK4"	0.0426107132969436	0.0359133203221538
"HES5"	-0.134812482049253	0.0733773514211104
"RP3-395M20.12"	0.046113823139207	0.564419190926346
"TNFRSF14"	-0.085729832433613	0.054200218375357
"FAM213B"	-0.0484887975402143	0.0606381639431384
"TTC34"	-0.0669256337802618	0.170794458320567
"LINC00982"	0.0205655308836697	0.744041800797724
"PRDM16"	0.0977113114805651	0.0114270973331293
"MIR4251"	0.093470392612346	0.592081654711944
"RP11-193J6.1"	0.146864416073971	0.142074578204371
"ARHGEF16"	-0.0680010631707841	0.426756447350575
"MEGF6"	-0.0845713946471477	0.130406796695243
"RP11-46F15.2"	0.0243039143435594	0.781801652332193
"TPRG1L"	-0.00318222253831085	0.877630768067088
"WRAP73"	-0.0618299089285166	0.0145422557078724
"TP73-AS1"	-0.0197132456584184	0.388805991819595
"SMIM1"	-0.0233242721521293	0.820276246433939
"LRRC47"	0.00397487506703493	0.816731419298106
"CEP104"	0.0042993977146381	0.820088710234222
