"Gene.symbol"	"logFC"	"P.Value"
"WASH7P"	-0.0620101737616781	0.400027570433812
"MIR6859-1"	0.0621221714883085	0.627148940702752
"RP11-34P13.15"	0.288828164293802	0.094609753551934
"RP11-34P13.16"	0.238123092123152	0.208484258662765
"FO538757.1"	-0.0960091996670092	0.135165878131648
"AP006222.2"	-0.163665845185342	0.113647808151003
"RPL23AP24"	-0.105201813380617	0.279486005634338
"MTND1P23"	-0.858475519656229	0.065257194690227
"MTND2P28"	0.154764687099509	0.137916103700278
"MTCO1P12"	-0.169603639813443	0.390168662567666
"MIR6723"	-0.315149984020733	0.324079047188177
"MTCO2P12"	0.0283247224036364	0.839671531663415
"MTATP6P1"	0.0223437908112536	0.802552228973154
"MTCO3P12"	0.107882971221757	0.607391592146867
"RP11-206L10.2"	0.0314265812809798	0.59968983554937
"RNU6-1199P"	0.0227110712044897	0.904156974433542
"RP11-206L10.9"	0.0499016056683239	0.326422406551964
"RP11-206L10.8"	0.00568449194460614	0.91867147675608
"LINC01128"	0.00739987029811939	0.734752104564141
"LINC00115"	0.0233207090467998	0.711462527152818
"RP11-54O7.16"	-0.108906038945956	0.567976854641811
"RP11-54O7.3"	-0.217914864871408	0.121120960444525
"SAMD11"	-0.0131659661018394	0.908435674846384
"NOC2L"	-0.00403822766028527	0.801798371027359
"KLHL17"	-0.13949137720265	0.000590491403599742
"RP11-54O7.17"	-0.15107539824703	0.231645182865423
"HES4"	-0.0897980866967945	0.142475171022254
"ISG15"	-0.0944852293522229	0.250472949635401
"AGRN"	-0.0849474325650042	0.0189726174890825
"RP11-465B22.3"	-0.00543978139532725	0.930674936190695
"C1orf159"	-0.0151132768856552	0.625718021780671
"TNFRSF18"	0.00251026326846676	0.976569976910256
"TNFRSF4"	0.0411966637339819	0.730811333693115
"SDF4"	-0.0396553066870727	0.0479265865339474
"B3GALT6"	-0.0613144102433659	0.0130730618612973
"FAM132A"	-0.000595988158629651	0.996160244128077
"UBE2J2"	-0.0189847260505432	0.30087489704318
"RP5-902P8.10"	-0.0757926127634994	0.194263825303382
"SCNN1D"	-0.0617632923582708	0.106080921908988
"ACAP3"	-0.0458557500822954	0.0711805051064058
"PUSL1"	-0.0510671385257752	0.143471818262886
"CPSF3L"	0.0104038574567063	0.580588625541745
"RP5-890O3.9"	-0.00905736847811735	0.868525026089517
"CPTP"	-0.0360161502024945	0.212641841059186
"DVL1"	-0.0292325744036796	0.253724254352342
"MXRA8"	0.0199359258198064	0.752510564086043
"AURKAIP1"	-0.0143298192139103	0.473881905234455
"CCNL2"	-0.00822066893667196	0.697999140013054
"RP4-758J18.2"	-0.0221776713992065	0.39972631275106
"MRPL20"	0.0344028857827936	0.0432599186914404
"RP4-758J18.13"	0.0608758644360407	0.29907493323742
"ANKRD65"	-0.159662290345336	0.0614761946460731
"RP4-758J18.7"	-0.0967897503626276	0.506524853836874
"TMEM88B"	0.0481206104868147	0.640310856644656
"RP4-758J18.10"	0.149798000779723	0.214244486242647
"VWA1"	0.0040438073061364	0.93037389971628
"ATAD3C"	-0.222182387989419	0.0602333449647644
"ATAD3B"	-0.090029314887271	0.0540383821313968
"ATAD3A"	-0.0752507969306732	0.00813591896836773
"TMEM240"	-0.0626425274755184	0.0470011741880173
"SSU72"	0.0346672792442511	0.0104151661465133
"RP5-832C2.5"	-0.0061093082335879	0.90616212062288
"FNDC10"	-0.0335440963999942	0.252812953897614
"RP11-345P4.9"	-0.061345837614747	0.0508697323678375
"MIB2"	-0.0684099246845646	0.0115774628812596
"CDK11B"	-0.0247224043004623	0.395305166316554
"RP11-345P4.10"	-0.150618884712429	0.372278848697714
"SLC35E2B"	-0.139653296943732	0.00573401084750316
"CDK11A"	-0.00564225589620194	0.95274961212506
"RP1-283E3.8"	0.151139847549854	0.0752276794339228
"SLC35E2"	-0.0366767504737753	0.609350240167729
"NADK"	-0.0316237625744153	0.112917190573213
"GNB1"	0.00289691217729177	0.82736740936817
"RP1-140A9.1"	-0.0884157353817678	0.195960562871786
"TMEM52"	0.0681278312675985	0.484401217745875
"CFAP74"	-0.0594137681597883	0.152683633321996
"RP11-547D24.1"	0.0301589374437759	0.716893309643115
"GABRD"	-0.0312478635807707	0.267412391327583
"PRKCZ"	-0.00931909802792599	0.549273538794161
"RP11-181G12.2"	-0.025630111612813	0.827234632611963
"FAAP20"	0.0299433793061535	0.393948075590821
"RP11-181G12.4"	0.145708765435888	0.46092573221971
"SKI"	-0.0335898686565248	0.256697227903435
"MORN1"	-0.0143594115665228	0.590643348712255
"RP4-740C4.5"	-0.0401690425959284	0.491896084032789
"RP4-740C4.7"	-0.0391168570639637	0.516169370180117
"RER1"	-0.0202425140909221	0.129666020114357
"PEX10"	-0.00890661529228029	0.671990770653569
"PLCH2"	-0.0284515077199929	0.511321271030736
"PANK4"	-0.012435758231285	0.521902247113685
"HES5"	-0.0556117183351752	0.554159939557142
"RP3-395M20.12"	-0.102702523916032	0.17492739951212
"TNFRSF14"	-0.0760685638528842	0.0862811174488144
"FAM213B"	-0.0123978123054135	0.592900678405086
"TTC34"	0.00977437128295578	0.868216072685705
"LINC00982"	0.0270752887281485	0.665783618234935
"PRDM16"	0.0269130713476041	0.476112437461187
"MIR4251"	-0.218364213590178	0.266024725582558
"RP11-193J6.1"	0.0883713199143485	0.45018925946059
"ARHGEF16"	0.0980730684064692	0.190498805087558
"MEGF6"	-0.0996012540362083	0.0993075841224958
"RP11-46F15.2"	-0.0371581098389965	0.682811507835311
"TPRG1L"	0.0299282099981155	0.141767541380744
"WRAP73"	-0.0313941703059267	0.224509171832121
"TP73-AS1"	0.00363952850453496	0.882573384623511
"SMIM1"	0.289141328418639	0.00696379868370473
"LRRC47"	-0.011838239576488	0.451061379239098
"CEP104"	0.0164117213171644	0.394629131977368
"DFFB"	-0.0223006701229169	0.456273886504243
"C1orf174"	-0.000138435557634424	0.994863002487211
"AJAP1"	-0.00514661489071969	0.826965094074025
"RP11-154H17.1"	-0.114142047811568	0.310231489430486
"MIR4689"	0.321750224630192	0.0910257156598962
"NPHP4"	0.0074764213302622	0.762547682089695
"KCNAB2"	0.0121116636097571	0.562179809053029
"CHD5"	-0.00177609407500524	0.937873183411512
"RPL22"	0.0217868237940698	0.217517788855675
"RP1-120G22.11"	0.0887776084788981	0.344279682986962
"RNF207"	-0.0593869614545563	0.145937091001957
