"Gene.symbol"	"logFC"	"P.Value"
"WASH7P"	-0.099847345206038	0.184308994567315
"MIR6859-1"	0.00342206362277412	0.978794475454121
"RP11-34P13.15"	-0.0340558778160592	0.847888415986256
"RP11-34P13.16"	-0.00251390788139357	0.989687128704388
"FO538757.1"	0.0145334572089137	0.820869891575169
"AP006222.2"	-0.0637771485978753	0.544846760540866
"RPL23AP24"	-0.132623268840896	0.188310948198263
"MTND1P23"	-0.334107955427653	0.472405944191598
"MTND2P28"	0.104964252377948	0.320073046541068
"MTCO1P12"	0.0280305987227222	0.888853407743151
"MIR6723"	-0.102378214661308	0.754751960553496
"MTCO2P12"	0.0527810833395765	0.706652909575614
"MTATP6P1"	-0.0435741238244846	0.630247641530557
"MTCO3P12"	0.280716828897197	0.183476157594542
"RP11-206L10.2"	0.00113527941384589	0.985041666052506
"RNU6-1199P"	-0.00528852191470569	0.977823217829668
"RP11-206L10.9"	0.0336239890424502	0.514938942879208
"RP11-206L10.8"	0.0431124142091686	0.443941734482212
"LINC01128"	0.00734988501308233	0.740620545909175
"LINC00115"	0.0170949125233366	0.789356040565708
"RP11-54O7.16"	0.0611734980945481	0.750078748657308
"RP11-54O7.3"	-0.171627817271039	0.220887370557367
"SAMD11"	-0.0483379476750343	0.673067385658037
"NOC2L"	-0.00303470708556615	0.852206172482859
"KLHL17"	-0.118612545464065	0.00362258487106049
"RP11-54O7.17"	-0.16920799105298	0.178760209261965
"HES4"	-0.093273128792788	0.125385581041303
"ISG15"	-0.0909620393269522	0.274057878236647
"AGRN"	-0.0626391445100485	0.0855018054069292
"RP11-465B22.3"	0.0097658395643654	0.878461061632033
"C1orf159"	-0.0367241260153428	0.240567581018018
"TNFRSF18"	0.118716933219136	0.166577822986617
"TNFRSF4"	-0.139470704917614	0.248679713314339
"SDF4"	-0.0465041379106367	0.0220960550904497
"B3GALT6"	-0.036751082787951	0.138660437021288
"FAM132A"	-0.0296541299104111	0.813838079019649
"UBE2J2"	-0.00403352891175901	0.82766527203197
"RP5-902P8.10"	-0.0648687217952275	0.271872801685537
"SCNN1D"	-0.0655800174868694	0.0894901602115485
"ACAP3"	-0.0495142085973544	0.0540743469729421
"PUSL1"	-0.0330375941026176	0.345412659659769
"CPSF3L"	-0.00475048069304246	0.803381127700102
"RP5-890O3.9"	-0.0653267035590799	0.242150010833875
"CPTP"	-0.0287688726085735	0.322716298736279
"DVL1"	0.0126887793975892	0.623733556993785
"MXRA8"	0.0302274732873992	0.638488060725888
"AURKAIP1"	-0.0118384849863282	0.558639855308151
"CCNL2"	-0.018790746344923	0.381325409951434
"RP4-758J18.2"	-0.0219418684625856	0.409289960704786
"MRPL20"	0.00842923161263819	0.624828807610367
"RP4-758J18.13"	0.0487954063845074	0.411289091296423
"ANKRD65"	-0.0201033313930955	0.812011024219673
"RP4-758J18.7"	-0.0464213413439955	0.746377937244927
"TMEM88B"	-0.13460096611374	0.180088144523284
"RP4-758J18.10"	-0.0544081658581443	0.659313749851271
"VWA1"	-0.0551816416847861	0.236498152126898
"ATAD3C"	-0.0999701222926057	0.391787316482121
"ATAD3B"	-0.120828085549662	0.0109628376964482
"ATAD3A"	-0.0713239053410474	0.0127406299949106
"TMEM240"	-0.037803500733333	0.232479699272836
"SSU72"	0.00836455102636485	0.540748052761455
"RP5-832C2.5"	-0.0908691097943772	0.0868433142431839
"FNDC10"	-0.0360071701537349	0.228744452958475
"RP11-345P4.9"	-0.0603182493145886	0.0586090319456405
"MIB2"	-0.0458151955604906	0.0933978288798916
"CDK11B"	-0.0494525785524402	0.0951987983817148
"RP11-345P4.10"	-0.187020682078417	0.267175423075647
"SLC35E2B"	-0.118979096202981	0.0199430373184649
"CDK11A"	-0.128368586199141	0.18719816285895
"RP1-283E3.8"	0.101118324896444	0.246104939615774
"SLC35E2"	-0.158665850361096	0.0302866405325795
"NADK"	0.009294538317795	0.64468774375261
"GNB1"	0.0173386214341125	0.198419588929701
"RP1-140A9.1"	-0.135147919271983	0.0517079172603057
"TMEM52"	0.0614455561829714	0.530365978111876
"CFAP74"	-0.0215509385418287	0.608953417537082
"RP11-547D24.1"	0.120683255578336	0.156461721695185
"GABRD"	-0.0149767351795055	0.600241182743574
"PRKCZ"	-0.00531820625856318	0.735584899075067
"RP11-181G12.2"	0.0502176879111659	0.672145770621169
"FAAP20"	0.0196878943286055	0.57959686758614
"RP11-181G12.4"	0.148473657467386	0.454921339345402
"SKI"	0.00300431329278522	0.919958135958868
"MORN1"	0.0181605643648786	0.50344278968739
"RP4-740C4.5"	0.00545266934501057	0.926515576205652
"RP4-740C4.7"	0.033017854507647	0.586216906759126
"RER1"	-0.0202510009274244	0.133696723590035
"PEX10"	-0.0039741716534455	0.851808719206957
"PLCH2"	0.0178337899565898	0.682628225025403
"PANK4"	0.00135879561267097	0.944969029823088
"HES5"	-0.0522530074650603	0.573962773299283
"RP3-395M20.12"	-0.0854642529757865	0.256997957618889
"TNFRSF14"	-0.0991468101924847	0.028687846531436
"FAM213B"	0.00317434644398492	0.892947545954217
"TTC34"	0.0227001141414414	0.707297803779767
"LINC00982"	0.0572913025867285	0.367754086044217
"PRDM16"	0.0578221365894564	0.132451242865734
"MIR4251"	-0.180030413275522	0.362667728392992
"RP11-193J6.1"	0.196916599414973	0.0947160086549477
"ARHGEF16"	0.0783556389505961	0.301117647666184
"MEGF6"	-0.0305185229117772	0.614586560958452
"RP11-46F15.2"	-0.0531986915131016	0.560934613591631
"TPRG1L"	0.0176105840037244	0.394217924862324
"WRAP73"	0.000512451339077258	0.984285338294574
"TP73-AS1"	0.0125622712276224	0.613794961382335
"SMIM1"	0.271197414480334	0.0128812758681651
"LRRC47"	-0.0120755841571747	0.448192062542941
"CEP104"	-0.00413946782386519	0.831911577836374
"DFFB"	-0.0238694329660509	0.431385474806117
"C1orf174"	-0.00598138626832905	0.784376147961573
"AJAP1"	0.0238078299807474	0.318906924575374
"RP11-154H17.1"	-0.0955788833915389	0.390568694130396
"MIR4689"	0.324998189377725	0.0952905080393722
"NPHP4"	0.0287172196861355	0.254515448332048
"KCNAB2"	0.0143526589150608	0.499070849701607
"CHD5"	0.00711233822067372	0.75832431929356
"RPL22"	0.03191496893296	0.0747918976451975
"RP1-120G22.11"	0.0495365054214522	0.609193284926185
"RNF207"	-0.068237264669607	0.100686811825068
"ICMT"	0.0221478782340555	0.301286580098957
"GPR153"	-0.0192876475489877	0.66711564770128
"ACOT7"	-0.0166601994279395	0.405653064765082
"RP1-202O8.3"	-0.379749595903282	0.00479217314257578
"TNFRSF25"	-0.0225434587440234	0.614652810788207
"PLEKHG5"	0.011399353259912	0.72141418184707
"NOL9"	-0.00922321772332941	0.619336345810239
"ZBTB48"	0.00442014357692633	0.861082190966288
"KLHL21"	0.0305479358431923	0.20984799387114
"PHF13"	0.0261503419634875	0.4910277490279
"THAP3"	0.00701757780410526	0.781302073547713
"DNAJC11"	-0.0249465003822494	0.109752150727179
"RP11-312B8.1"	-0.126969811216593	0.335527260590055
"CAMTA1"	0.0207270229572726	0.183375838425362
"RNU1-8P"	0.131032799804763	0.486293062961936
"CAMTA1-IT1"	0.0719854730675542	0.426188024651976
"RP11-338N10.1"	0.2131013806311	0.0612695223779969
"RP11-338N10.2"	0.068210455863509	0.593244956654095
"RP11-338N10.3"	-0.0178362494341587	0.879786973661754
"VAMP3"	-0.00755985910900714	0.779184310894321
"RP3-467L1.6"	0.0491505667888915	0.473569393101432
"PER3"	0.000381699850738689	0.992293878615562
"PARK7"	0.0145427590783395	0.299908668949637
"ERRFI1"	0.0431648612670786	0.158058964085418
"SLC45A1"	0.0230028312906639	0.285497493766507
"Y_RNA"	-0.0700160388095671	0.70614926514399
"RERE"	0.0101690117900051	0.533482243864762
"SNORA77"	-0.0373321141035081	0.770047942315692
"RPL7P7"	-0.046362747354881	0.546152010429839
"Y_RNA"	-0.117946233482408	0.384655656189462
"RP4-633I8.4"	-0.00495458201239988	0.954058668820228
"ENO1"	0.00498091537719181	0.773592228194876
"MIR6728"	-0.0229137002147729	0.892742179490232
"ENO1-IT1"	-0.143146506249462	0.124393014120883
